start_year,end_year,livestock_class,start_head,end_head,change_head,change_pct,start_design,end_design
2002,2014,Beef cattle,4491281,3669862,-821419,-18.289191880890996,census,survey
2002,2014,Dairy cattle,5161589,6698326,1536737,29.772556474372525,census,survey
2002,2014,Sheep,39571837,29803402,-9768435,-24.685321027679358,census,survey
2014,2025,Beef cattle,3669862,3832668,162806,4.436297604651074,survey,survey
2014,2025,Dairy cattle,6698326,5749870,-948456,-14.15959748749165,survey,survey
2014,2025,Sheep,29803402,23252463,-6550939,-21.980507460188605,survey,survey
2002,2022,Beef cattle,4491281,3821156,-670125,-14.920576111804182,census,census
2002,2022,Dairy cattle,5161589,5930033,768444,14.88774096504003,census,census
2002,2022,Sheep,39571837,25132697,-14439140,-36.488424836077236,census,census
